PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2011 MAN;2011 VROUW;2012 MAN;2012 VROUW;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW
Limburg;0935;MAASTRICHT;WO kleine univ.;27YA;transnationale Universiteit Limburg;natuur;n.v.t. (natuur);60125;M Operations Research;voltijd onderwijs;master;22;8;25;8;26;11;29;4;25;1
Limburg;0935;MAASTRICHT;WO kleine univ.;27YA;transnationale Universiteit Limburg;natuur;n.v.t. (natuur);60303;M Molecular Life Sciences;voltijd onderwijs;master;50;55;0;0;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;WO kleine univ.;27YA;transnationale Universiteit Limburg;natuur;n.v.t. (natuur);66981;M Artificial Intelligence;voltijd onderwijs;master;48;9;45;3;65;6;62;10;54;11
Limburg;0935;MAASTRICHT;WO kleine univ.;27YA;transnationale Universiteit Limburg;natuur;n.v.t. (natuur);66990;M Biomedical Sciences;voltijd onderwijs;master;0;0;58;54;49;61;44;77;58;88
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);50019;B International Business;voltijd onderwijs;bachelor;876;571;953;641;987;709;1023;777;1044;869
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;bachelor;607;237;549;216;542;223;565;251;541;271
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);56402;B Fiscale Economie;voltijd onderwijs;bachelor;88;41;109;39;125;48;122;48;94;44
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);56833;B Econometrie en Operationele Research;voltijd onderwijs;bachelor;99;33;110;45;129;56;128;76;135;82
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60001;M Management of Learning;voltijd onderwijs;master;8;20;5;29;11;35;15;40;12;26
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60012;M Economic and Financial Research (research);voltijd onderwijs;master;7;3;13;4;16;9;18;10;13;8
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60013;M Business Research (research);voltijd onderwijs;master;0;3;8;6;5;4;3;2;3;1
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60014;M Economic Studies;voltijd onderwijs;master;32;30;34;22;34;22;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60018;M Information and Network Economics;voltijd onderwijs;master;6;3;10;3;9;2;6;3;4;4
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60019;M International Business;deeltijd onderwijs;master;63;16;57;24;61;30;52;18;42;13
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60019;M International Business;voltijd onderwijs;master;745;460;671;412;556;314;481;272;516;299
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60307;M Econometrics and Operations Research;voltijd onderwijs;master;22;12;25;7;20;12;22;15;26;14
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60321;M Financial Economics;voltijd onderwijs;master;30;13;43;24;53;18;47;16;43;20
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60445;M Global Supply Chain Management and Change;voltijd onderwijs;master;12;8;10;6;11;10;24;12;16;20
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60464;M Human Decision Science;voltijd onderwijs;master;0;0;17;11;24;19;13;13;14;18
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);66401;M Economics;voltijd onderwijs;master;0;0;0;0;0;0;19;16;22;7
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);66402;M Fiscale Economie;voltijd onderwijs;master;16;12;15;10;16;11;14;12;12;14
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56051;B Europese Studies;voltijd onderwijs;bachelor;439;533;455;522;467;522;466;506;461;494
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;bachelor;340;759;268;673;245;634;228;609;264;745
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60003;M European Public Affairs;voltijd onderwijs;master;17;14;16;13;15;19;17;21;15;15
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60116;M Analysing Europe;voltijd onderwijs;master;2;7;0;4;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60328;M Public Policy and Human Development;voltijd onderwijs;master;64;92;74;79;55;78;67;93;79;110
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60377;M European Studies (research);voltijd onderwijs;master;8;7;8;10;7;8;10;8;10;8
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60465;M Globalisation and Development Studies;voltijd onderwijs;master;4;16;5;26;12;33;6;28;10;31
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66604;M Psychology;voltijd onderwijs;master;102;240;86;250;91;285;112;316;115;291
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69303;M European Studies;voltijd onderwijs;master;46;43;57;49;63;62;41;47;44;46
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69305;M Forensic Psychology;voltijd onderwijs;master;5;38;4;43;2;47;2;47;4;50
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69315;M Sustainability Science and Policy;voltijd onderwijs;master;5;6;10;14;11;11;9;7;18;29
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);06551;Geneeskunde;voltijd onderwijs;beroepsfase;1;4;0;0;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);06551;Geneeskunde;voltijd onderwijs;initi‘le opleiding;1;0;0;0;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);50296;B European Public Health;voltijd onderwijs;bachelor;47;159;56;173;84;184;81;192;93;214
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;bachelor;391;660;377;651;347;670;327;710;341;710
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);56553;B Gezondheidswetenschappen;voltijd onderwijs;bachelor;182;519;177;532;171;579;165;621;163;647
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;bachelor;230;264;256;297;279;315;240;247;230;245
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60006;M Mental Health;deeltijd onderwijs;master;4;19;0;17;0;11;0;9;1;9
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60006;M Mental Health;voltijd onderwijs;master;8;63;11;61;12;61;16;114;25;94
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60007;M Work, Health and Career;deeltijd onderwijs;master;0;0;0;0;2;0;2;0;0;4
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60007;M Work, Health and Career;voltijd onderwijs;master;0;0;0;0;2;16;4;13;3;15
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60011;M Epidemiology;deeltijd onderwijs;master;0;0;0;2;1;3;2;3;1;3
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60011;M Epidemiology;voltijd onderwijs;master;0;0;3;5;6;7;10;5;6;12
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60117;M Physical Activity and Health;deeltijd onderwijs;master;12;11;4;3;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60117;M Physical Activity and Health;voltijd onderwijs;master;26;29;3;5;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60120;M Health Sciences (research);voltijd onderwijs;master;5;19;5;18;5;16;8;17;8;19
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60121;M Cognitive and Clinical Neuroscience (research);voltijd onderwijs;master;43;87;56;105;53;112;60;122;64;127
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60296;M Public Health;deeltijd onderwijs;master;18;36;10;13;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60296;M Public Health;voltijd onderwijs;master;31;76;9;7;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60314;M Cardiovascular Biology and Medicine (research);voltijd onderwijs;master;6;2;0;0;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60363;M Nutrition and Metabolism: fundamental and clinical aspects (research);voltijd onderwijs;master;2;3;1;0;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60379;M European Public Health;voltijd onderwijs;master;8;20;11;15;5;16;8;12;6;27
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60460;M Healthcare Policy, Innovation and Management;deeltijd onderwijs;master;0;0;3;6;9;15;7;16;12;21
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60460;M Healthcare Policy, Innovation and Management;voltijd onderwijs;master;0;0;13;38;21;43;28;49;26;45
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60461;M Health Education and Promotion;deeltijd onderwijs;master;0;0;0;7;0;13;1;13;2;21
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60461;M Health Education and Promotion;voltijd onderwijs;master;0;0;4;23;1;29;6;44;4;44
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60462;M Bewegingswetenschappen;deeltijd onderwijs;master;0;0;4;5;13;6;16;10;15;14
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60462;M Bewegingswetenschappen;voltijd onderwijs;master;0;0;13;17;17;17;38;19;20;25
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60463;M Sports and Physical Activity Interventions;deeltijd onderwijs;master;0;0;0;0;1;2;1;2;0;1
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60463;M Sports and Physical Activity Interventions;voltijd onderwijs;master;0;0;3;14;8;9;2;2;1;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);60512;M Health Food Innovation Management;voltijd onderwijs;master;12;34;16;43;14;49;20;63;20;61
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);66551;M Geneeskunde;voltijd onderwijs;master;289;602;320;638;322;608;346;605;342;660
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);66585;M Arts - Klinisch Onderzoeker;voltijd onderwijs;master;42;73;55;82;62;95;69;115;66;129
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gezondheidszorg;n.v.t. (gezondheidszorg);66902;M Global Health;voltijd onderwijs;master;15;42;15;47;20;58;18;67;34;104
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;natuur;n.v.t. (natuur);50300;B Kennistechnologie;voltijd onderwijs;bachelor;95;18;110;14;125;22;128;22;165;33
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;natuur;n.v.t. (natuur);60955;M Biobased Materials;voltijd onderwijs;master;0;0;0;0;0;0;0;0;2;4
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;natuur;n.v.t. (natuur);60956;M Systems Biology;voltijd onderwijs;master;0;0;0;0;0;0;0;0;2;1
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;bachelor;267;387;284;397;261;391;311;473;337;500
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;bachelor;3;3;1;0;0;1;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;bachelor;205;356;203;312;171;253;174;284;164;267
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);56827;B Fiscaal Recht;voltijd onderwijs;bachelor;110;64;98;61;97;68;104;54;101;60
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);60017;M European Law School;voltijd onderwijs;master;49;56;31;57;41;66;49;65;50;72
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);60168;M International Laws;voltijd onderwijs;master;13;41;13;33;9;28;11;24;15;28
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);60169;M Recht en Arbeid;voltijd onderwijs;master;19;48;19;43;19;36;18;40;24;35
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);60170;M Globalisation and Law;voltijd onderwijs;master;37;57;50;89;68;130;68;124;85;133
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);60171;M Forensica, Criminologie en Rechtspleging;voltijd onderwijs;master;28;83;27;99;33;121;38;124;28;123
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);60459;M International and European Tax Law;voltijd onderwijs;master;14;16;13;16;18;25;26;25;52;26
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);66451;M Nederlands recht;voltijd onderwijs;master;104;145;91;162;92;165;81;143;77;146
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;recht;n.v.t. (recht);66827;M Fiscaal Recht;voltijd onderwijs;master;71;48;62;32;78;40;81;41;73;43
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;sectoroverstijgend;sectoroverstijgend;50393;B Liberal Arts and Sciences;voltijd onderwijs;bachelor;264;370;261;400;287;452;288;522;328;549
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);50004;B Cultuurwetenschappen;voltijd onderwijs;bachelor;143;308;157;299;157;297;131;268;122;249
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);60002;M European Studies on Society, Science and Technology;voltijd onderwijs;master;8;8;1;1;1;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);60016;M Cultuur-en Wetenschapsstudies;voltijd onderwijs;master;15;18;6;2;3;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);60087;M Kunst- & cultuurwetenschappen;voltijd onderwijs;master;0;0;14;55;19;87;23;87;22;78
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);60113;M Mediacultuur;voltijd onderwijs;master;13;29;3;0;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);60114;M Cultuurbeleid,-beheer en -behoud;voltijd onderwijs;master;13;72;2;19;1;4;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);60284;M Europese Studies;voltijd onderwijs;master;0;0;8;12;6;10;8;15;13;8
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);60341;M Cultures of Arts, Science and Technology (research);voltijd onderwijs;master;8;17;2;8;0;2;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);60829;M Kunst- & cultuurwetenschappen (research);voltijd onderwijs;master;0;0;7;4;8;9;5;8;6;8
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;taal en cultuur;n.v.t. (taal en cultuur);60830;M Mediastudies;voltijd onderwijs;master;0;0;7;21;3;14;2;20;4;16
Noord-Brabant;0758;BREDA;reguliere inst.;21UI;NHTV Internationale Hogeschool Breda;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50756;B Vrijetijdwetenschappen;voltijd onderwijs;bachelor;16;28;17;28;18;37;12;40;13;40
Noord-Brabant;0758;BREDA;reguliere inst.;21UI;NHTV Internationale Hogeschool Breda;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60078;M Leisure Studies;voltijd onderwijs;master;0;0;0;0;0;0;7;15;7;14
Noord-Brabant;0758;BREDA;reguliere inst.;21UI;NHTV Internationale Hogeschool Breda;sectoroverstijgend;sectoroverstijgend;55001;B Tourism (joint degree);voltijd onderwijs;bachelor;0;1;0;3;5;16;0;0;1;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;onderwijs;universitaire lerarenopleidingen;68404;M Science Education and Communication;deeltijd onderwijs;master;12;1;8;0;6;1;6;2;6;4
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;onderwijs;universitaire lerarenopleidingen;68404;M Science Education and Communication;voltijd onderwijs;master;31;11;26;10;29;13;24;12;42;23
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);50441;B Industrial Design;voltijd onderwijs;bachelor;158;65;150;78;178;91;187;111;177;139
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);50441;B Industrial Design;voltijd onderwijs;propedeuse bachelor;142;53;141;67;116;78;98;66;99;83
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56226;B Biomedische Technologie;deeltijd onderwijs;bachelor;0;0;0;0;0;0;0;0;1;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56226;B Biomedische Technologie;voltijd onderwijs;bachelor;101;64;86;70;104;68;113;101;121;138
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56226;B Biomedische Technologie;voltijd onderwijs;propedeuse bachelor;105;54;102;75;145;111;182;157;191;180
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56265;B Technische Innovatiewetenschappen;deeltijd onderwijs;bachelor;1;1;1;0;0;0;0;0;1;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56265;B Technische Innovatiewetenschappen;voltijd onderwijs;bachelor;75;18;60;26;67;33;96;43;113;70
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56265;B Technische Innovatiewetenschappen;voltijd onderwijs;propedeuse bachelor;47;17;74;30;112;56;148;70;153;80
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56951;B Bouwkunde;deeltijd onderwijs;bachelor;3;2;3;1;1;0;0;0;0;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56951;B Bouwkunde;deeltijd onderwijs;propedeuse bachelor;1;0;0;0;0;0;0;0;0;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56951;B Bouwkunde;voltijd onderwijs;bachelor;630;170;522;178;413;140;324;138;257;125
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56951;B Bouwkunde;voltijd onderwijs;propedeuse bachelor;364;137;314;130;221;111;173;98;151;101
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56953;B Electrical Engineering;deeltijd onderwijs;bachelor;14;0;14;0;12;0;8;1;7;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56953;B Electrical Engineering;deeltijd onderwijs;propedeuse bachelor;1;0;0;0;0;0;0;0;0;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56953;B Electrical Engineering;voltijd onderwijs;bachelor;137;9;144;11;138;16;189;21;208;12
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56953;B Electrical Engineering;voltijd onderwijs;propedeuse bachelor;198;6;210;10;266;12;283;18;421;33
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56960;B Scheikundige Technologie;deeltijd onderwijs;bachelor;4;3;2;2;0;1;0;0;0;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56960;B Scheikundige Technologie;voltijd onderwijs;bachelor;136;21;108;26;131;22;133;28;103;31
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56960;B Scheikundige Technologie;voltijd onderwijs;propedeuse bachelor;79;21;106;17;103;27;102;33;125;40
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56962;B Technische Natuurkunde;deeltijd onderwijs;bachelor;2;0;0;0;0;0;0;0;0;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56962;B Technische Natuurkunde;deeltijd onderwijs;propedeuse bachelor;0;0;0;1;1;0;0;0;0;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56962;B Technische Natuurkunde;voltijd onderwijs;bachelor;125;12;125;6;127;8;127;14;169;26
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56962;B Technische Natuurkunde;voltijd onderwijs;propedeuse bachelor;119;9;113;11;163;24;240;28;260;23
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56964;B Technische Informatica;deeltijd onderwijs;bachelor;5;0;2;1;0;0;1;0;0;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56964;B Technische Informatica;voltijd onderwijs;bachelor;134;14;154;10;167;8;186;17;216;19
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56964;B Technische Informatica;voltijd onderwijs;propedeuse bachelor;148;7;149;8;169;10;239;17;277;34
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56965;B Technische Wiskunde;deeltijd onderwijs;bachelor;3;0;0;1;1;1;1;1;0;0
Noord-Brabant;0772;EINDHOVEN;reguliere inst.;21PG;Technische Universiteit Eindhoven;techniek;n.v.t. (techniek);56965;B Technische Wiskunde;voltijd onderwijs;bachelor;36;18;44;11;45;12;48;18;54;18
